"GEOID","NAME","fem_bachelor","fem_doctorate","fem_highschool","fem_noschool","fem_ovr_25","male_bachelor","male_doctorate","male_highschool","male_noschool","male_ovr_25","pop_ovr_25"
"42101027200","Census Tract 272, Philadelphia County, Pennsylvania",173,0,690,9,1701,249,0,568,10,1422,3123
"42101027300","Census Tract 273, Philadelphia County, Pennsylvania",220,0,737,219,2246,83,16,707,120,1696,3942
"42101027401","Census Tract 274.01, Philadelphia County, Pennsylvania",294,0,216,83,1129,76,0,456,85,1103,2232
"42101027402","Census Tract 274.02, Philadelphia County, Pennsylvania",226,0,566,127,2053,141,0,569,139,1942,3995
"42101027500","Census Tract 275, Philadelphia County, Pennsylvania",209,0,515,38,1703,90,0,480,51,1248,2951
"42101027600","Census Tract 276, Philadelphia County, Pennsylvania",99,0,398,0,1307,101,0,482,18,1001,2308
"42101027700","Census Tract 277, Philadelphia County, Pennsylvania",275,0,706,160,1886,71,0,521,13,1333,3219
"42101027800","Census Tract 278, Philadelphia County, Pennsylvania",267,0,473,28,1652,113,13,546,36,1266,2918
"42101027901","Census Tract 279.01, Philadelphia County, Pennsylvania",182,0,498,51,1348,84,0,558,8,1081,2429
"42101027902","Census Tract 279.02, Philadelphia County, Pennsylvania",116,2,229,0,775,50,14,375,0,815,1590
"42101028000","Census Tract 280, Philadelphia County, Pennsylvania",55,0,722,15,1418,62,1,580,0,1214,2632
"42101028100","Census Tract 281, Philadelphia County, Pennsylvania",263,0,573,7,1796,118,0,388,0,962,2758
"42101028200","Census Tract 282, Philadelphia County, Pennsylvania",293,44,577,0,1907,160,55,629,0,1409,3316
"42101028300","Census Tract 283, Philadelphia County, Pennsylvania",92,0,749,65,2036,106,0,961,24,1719,3755
"42101028400","Census Tract 284, Philadelphia County, Pennsylvania",138,0,557,0,1509,93,0,388,33,1263,2772
"42101028500","Census Tract 285, Philadelphia County, Pennsylvania",73,0,256,63,938,15,0,234,17,638,1576
"42101028600","Census Tract 286, Philadelphia County, Pennsylvania",302,0,993,141,2332,94,0,617,42,1506,3838
"42101028700","Census Tract 287, Philadelphia County, Pennsylvania",81,0,280,27,780,5,0,296,49,671,1451
"42101028800","Census Tract 288, Philadelphia County, Pennsylvania",72,8,566,139,1370,43,0,364,31,1061,2431
"42101028901","Census Tract 289.01, Philadelphia County, Pennsylvania",50,0,463,57,1224,47,0,287,80,1146,2370
"42101028902","Census Tract 289.02, Philadelphia County, Pennsylvania",66,0,805,87,1994,61,0,496,88,1832,3826
"42101029000","Census Tract 290, Philadelphia County, Pennsylvania",164,0,454,127,1838,185,0,764,140,2245,4083
"42101029100","Census Tract 291, Philadelphia County, Pennsylvania",104,0,531,147,1630,77,0,306,126,1048,2678
"42101029200","Census Tract 292, Philadelphia County, Pennsylvania",73,11,656,87,1508,66,12,395,55,1272,2780
"42101029300","Census Tract 293, Philadelphia County, Pennsylvania",90,0,300,44,903,4,1,520,18,822,1725
"42101029400","Census Tract 294, Philadelphia County, Pennsylvania",13,0,289,47,964,20,0,351,14,705,1669
"42101029800","Census Tract 298, Philadelphia County, Pennsylvania",171,0,973,60,1843,71,0,536,23,1360,3203
"42101029900","Census Tract 299, Philadelphia County, Pennsylvania",104,0,638,33,1513,63,0,338,13,778,2291
"42101030000","Census Tract 300, Philadelphia County, Pennsylvania",53,0,977,31,2335,26,28,801,30,1788,4123
"42101030100","Census Tract 301, Philadelphia County, Pennsylvania",307,0,767,42,2058,79,10,580,19,1424,3482
"42101030200","Census Tract 302, Philadelphia County, Pennsylvania",185,0,1000,14,2573,147,0,720,46,1935,4508
"42101030501","Census Tract 305.01, Philadelphia County, Pennsylvania",115,0,705,67,1678,132,0,643,7,1503,3181
"42101030502","Census Tract 305.02, Philadelphia County, Pennsylvania",222,0,746,43,2074,148,0,696,86,1787,3861
"42101030600","Census Tract 306, Philadelphia County, Pennsylvania",340,5,1105,57,2796,304,21,1066,89,2503,5299
"42101030700","Census Tract 307, Philadelphia County, Pennsylvania",166,0,370,46,1230,207,10,548,30,1224,2454
"42101030800","Census Tract 308, Philadelphia County, Pennsylvania",292,14,513,35,1852,161,0,531,31,1492,3344
"42101030900","Census Tract 309, Philadelphia County, Pennsylvania",187,4,403,80,1439,134,0,369,38,1068,2507
"42101031000","Census Tract 310, Philadelphia County, Pennsylvania",345,0,846,54,2625,232,16,822,41,2376,5001
"42101031101","Census Tract 311.01, Philadelphia County, Pennsylvania",136,38,548,17,1619,122,31,575,15,1577,3196
"42101031102","Census Tract 311.02, Philadelphia County, Pennsylvania",131,0,514,32,1445,133,6,248,42,861,2306
"42101031200","Census Tract 312, Philadelphia County, Pennsylvania",156,0,423,118,1593,78,7,671,7,1453,3046
"42101031300","Census Tract 313, Philadelphia County, Pennsylvania",309,0,560,134,2135,161,0,874,105,1974,4109
"42101031401","Census Tract 314.01, Philadelphia County, Pennsylvania",256,0,823,169,2402,174,18,784,74,2121,4523
"42101031402","Census Tract 314.02, Philadelphia County, Pennsylvania",119,0,720,186,1970,190,0,565,62,1442,3412
"42101031501","Census Tract 315.01, Philadelphia County, Pennsylvania",220,26,761,26,2211,110,0,1147,19,2166,4377
"42101031502","Census Tract 315.02, Philadelphia County, Pennsylvania",165,17,424,66,1378,129,11,631,5,1362,2740
"42101031600","Census Tract 316, Philadelphia County, Pennsylvania",291,0,799,141,2190,197,1,1057,77,2081,4271
"42101031700","Census Tract 317, Philadelphia County, Pennsylvania",120,0,861,51,2203,155,0,812,79,1477,3680
"42101031800","Census Tract 318, Philadelphia County, Pennsylvania",171,0,541,22,1306,115,8,502,8,1253,2559
"42101031900","Census Tract 319, Philadelphia County, Pennsylvania",216,0,680,32,1675,159,1,582,28,1614,3289
"42101032000","Census Tract 320, Philadelphia County, Pennsylvania",327,17,1144,30,2298,305,0,744,97,2022,4320
"42101032100","Census Tract 321, Philadelphia County, Pennsylvania",113,0,561,0,1317,26,14,568,25,1092,2409
"42101032300","Census Tract 323, Philadelphia County, Pennsylvania",65,0,555,1,1150,89,0,542,29,1005,2155
"42101032500","Census Tract 325, Philadelphia County, Pennsylvania",198,18,999,0,2035,139,0,1153,54,2118,4153
"42101032600","Census Tract 326, Philadelphia County, Pennsylvania",309,1,1123,16,2376,244,0,839,0,1815,4191
"42101032900","Census Tract 329, Philadelphia County, Pennsylvania",121,0,542,42,1199,120,0,713,31,1209,2408
"42101033000","Census Tract 330, Philadelphia County, Pennsylvania",259,0,1244,20,2660,222,0,732,23,1877,4537
"42101033101","Census Tract 331.01, Philadelphia County, Pennsylvania",218,17,877,30,1615,385,9,761,48,1805,3420
"42101033102","Census Tract 331.02, Philadelphia County, Pennsylvania",182,19,747,48,1497,93,31,565,23,1160,2657
"42101033200","Census Tract 332, Philadelphia County, Pennsylvania",105,4,389,11,887,156,4,359,19,960,1847
"42101033300","Census Tract 333, Philadelphia County, Pennsylvania",394,7,713,67,1862,215,5,549,50,1413,3275
"42101033400","Census Tract 334, Philadelphia County, Pennsylvania",447,20,802,36,2240,312,29,764,52,1918,4158
